# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
-2.62927e-01 -9.74550e-03 -1.81755e-08
-2.61902e-01 -9.74550e-03 -1.34386e-08
-2.60877e-01 -9.74550e-03 -1.62767e-08
-2.59852e-01 -9.74550e-03 -1.63165e-08
-2.58827e-01 -9.74550e-03 -1.51198e-08
-2.57802e-01 -9.74550e-03 -1.32852e-08
-2.56777e-01 -9.74550e-03 -1.19744e-08
-2.55752e-01 -9.74550e-03 -1.34231e-08
-2.54727e-01 -9.74550e-03 -1.48500e-08
-2.53702e-01 -9.74550e-03 -1.31402e-08
-2.52677e-01 -9.74550e-03 -9.95715e-09
-2.51651e-01 -9.74550e-03 -9.97804e-09
-2.50626e-01 -9.74550e-03 -1.39547e-08
-2.49601e-01 -9.74550e-03 -1.09616e-08
-2.48576e-01 -9.74550e-03 -8.96634e-09
-2.47551e-01 -9.74550e-03 -9.74234e-09
-2.46526e-01 -9.74550e-03 -1.05085e-08
-2.45501e-01 -9.74550e-03 -8.42436e-09
-2.44476e-01 -9.74550e-03 -7.68880e-09
-2.43451e-01 -9.74550e-03 -8.31566e-09
-2.42426e-01 -9.74550e-03 -7.14966e-09
-2.41401e-01 -9.74550e-03 -7.08953e-09
-2.40376e-01 -9.74550e-03 -9.31142e-09
-2.39351e-01 -9.74550e-03 -5.88031e-09
-2.38326e-01 -9.74550e-03 -6.74348e-09
-2.37301e-01 -9.74550e-03 -4.22827e-09
-2.36276e-01 -9.74550e-03 -4.09002e-09
-2.35251e-01 -9.74550e-03 -3.25309e-09
-2.34226e-01 -9.74550e-03 -2.70634e-09
-2.33200e-01 -9.74550e-03 -2.82540e-09
-2.32175e-01 -9.74550e-03 1.37365e-09
-2.31150e-01 -9.74550e-03 4.99885e-10
-2.30125e-01 -9.74550e-03 1.76670e-10
-2.29100e-01 -9.74550e-03 2.16946e-09
-2.28075e-01 -9.74550e-03 5.21099e-10
-2.27050e-01 -9.74550e-03 4.08238e-10
-2.26025e-01 -9.74550e-03 4.85342e-10
-2.25000e-01 -9.74550e-03 1.18371e-09
-2.23975e-01 -9.74550e-03 1.22251e-09
-2.22950e-01 -9.74550e-03 1.95689e-09
-2.21925e-01 -9.74550e-03 2.29538e-09
-2.20900e-01 -9.74550e-03 -1.37296e-09
-2.19875e-01 -9.74550e-03 -7.67286e-10
-2.18850e-01 -9.74550e-03 -9.07105e-10
-2.17825e-01 -9.74550e-03 3.48657e-09
-2.16800e-01 -9.74550e-03 6.76733e-09
-2.15774e-01 -9.74550e-03 4.29462e-09
-2.14749e-01 -9.74550e-03 8.47654e-09
-2.13724e-01 -9.74550e-03 7.35866e-09
-2.12699e-01 -9.74550e-03 9.09751e-09
-2.11674e-01 -9.74550e-03 7.15175e-09
-2.10649e-01 -9.74550e-03 3.50815e-09
-2.09624e-01 -9.74550e-03 6.04527e-09
-2.08599e-01 -9.74550e-03 5.07245e-09
-2.07574e-01 -9.74550e-03 4.18298e-09
-2.06549e-01 -9.74550e-03 8.72937e-09
-2.05524e-01 -9.74550e-03 7.52366e-09
-2.04499e-01 -9.74550e-03 8.00860e-09
-2.03474e-01 -9.74550e-03 9.38503e-09
-2.02449e-01 -9.74550e-03 9.09312e-09
-2.01424e-01 -9.74550e-03 1.14789e-08
-2.00399e-01 -9.74550e-03 1.22666e-08
-1.99374e-01 -9.74550e-03 8.32945e-09
-1.98349e-01 -9.74550e-03 1.06958e-08
-1.97323e-01 -9.74550e-03 1.28020e-08
-1.96298e-01 -9.74550e-03 1.15844e-08
-1.95273e-01 -9.74550e-03 1.09398e-08
-1.94248e-01 -9.74550e-03 1.44914e-08
-1.93223e-01 -9.74550e-03 1.49565e-08
-1.92198e-01 -9.74550e-03 1.66325e-08
-1.91173e-01 -9.74550e-03 1.56306e-08
-1.90148e-01 -9.74550e-03 1.54564e-08
-1.89123e-01 -9.74550e-03 1.47071e-08
-1.88098e-01 -9.74550e-03 1.45439e-08
-1.87073e-01 -9.74550e-03 1.30902e-08
-1.86048e-01 -9.74550e-03 1.56529e-08
-1.85023e-01 -9.74550e-03 1.92463e-08
-1.83998e-01 -9.74550e-03 1.79041e-08
